name,level,lat,lon,matched
"Praça Félix Gomes Xavante, Parelhas",city,-6.69137,-36.65845,"Parelhas, Rio Grande do Norte, Região Nordeste, 59360-000, Brasil"
Clube de Aeronáutica de Brasília Aircraft Displays,city,-15.79399,-47.88280,"Brasília, Plano Piloto, Distrito Federal, Região Centro-Oeste, 70391-900, Brasil"
"Clube dos Suboficiais e Sargentos da Aeronáutica Mirage, Brasília",city,-15.79399,-47.88280,"Brasília, Plano Piloto, Distrito Federal, Região Centro-Oeste, 70391-900, Brasil"
"Avião de Taguatinga Boeing 767, Taguatinga",address,-15.83696,-48.09047,"Avenida Elmo Serejo, Centro Metropolitano, Taguatinga, Distrito Federal, Região Centro-Oeste, 72215-092, Brasil"
"Praça Americano do Brasil Mirage III, Anápolis",address,-16.32401,-48.95625,"Praça Americano do Brasil ( Praça do Avião), Setor Central, Anápolis, Goiás, Região Centro-Oeste, Brasil"
"BR-414 Air Base Access Mirage III, Anápolis",city,-16.33328,-48.95258,"Anápolis, Goiás, Região Centro-Oeste, Brasil"
"Praça Tenente Diomar Meneses F-5 Monument, Jataí",city,-17.88562,-51.72030,"Jataí, Goiás, Região Centro-Oeste, Brasil"
"Auto Posto DDD EMB-120, Simolândia",city,-14.47333,-46.48328,"Simolândia, Goiás, Região Centro-Oeste, Brasil"
"Praça Cel Av Chaves Filho T-6 Monument, Campo Grande",city,-20.46402,-54.61629,"Campo Grande, Mato Grosso do Sul, Região Centro-Oeste, Brasil"
"Praça da Cultura DC-3, Alta Floresta",address,-9.86822,-56.08292,"Praça da Cultura, Canteiro Central, Alta Floresta, Mato Grosso, Região Centro-Oeste, Brasil"
"Praça Siegfried Roewer DC-3, Canarana",city,-13.55646,-52.26912,"Canarana, Mato Grosso, Região Centro-Oeste, 78640-000, Brasil"
"Restaurante Avião Bandeirante, Cuiabá",city,-15.59867,-56.09913,"Cuiabá, Mato Grosso, Região Centro-Oeste, Brasil"
Aeroporto de Santo Antônio do Leverger Boeing 727,address,-15.84980,-56.08614,"Aeroporto de Santo Antônio de Leverger, Beco do Caju, Santo Antônio de Leverger, Mato Grosso, Região Centro-Oeste, 78184"
Aeroporto de Sorriso Mirage III,address,-12.47872,-55.67213,"Aeroporto Regional de Sorriso, BR-163, Sorriso, Mato Grosso, Região Centro-Oeste, Brasil"
"Praça do Rosário F-5 Monument, Carandaí",city,-20.95239,-43.80439,"Carandaí, Prefeitura Municipal de Carandaí, Minas Gerais, Região Sudeste, 36280-000, Brasil"
"Beer 737 Airline Bar, Caratinga",city,-19.79009,-42.14053,"Caratinga, Minas Gerais, Região Sudeste, Brasil"
"Shopping do Avião Boeing 737, Contagem",city,-19.91327,-44.08410,"Contagem, Minas Gerais, Região Sudeste, Brasil"
"Praça do Avião Bandeirante, Espera Feliz",city,-20.64942,-41.90807,"Espera Feliz, Minas Gerais, Região Sudeste, 36830-000, Brasil"
"Praça do Soldado Super Puma Monument, Itajubá",city,-22.42382,-45.45242,"Itajubá, Minas Gerais, Região Sudeste, Brasil"
Mercadão de Lagoa Santa Boeing 737,city,-19.63574,-43.89661,"Lagoa Santa, Minas Gerais, Região Sudeste, Brasil"
"Pousada Viviê EMB-120 Brasília, Monte Verde",city,-22.75528,-46.14444,"Camanducaia, Minas Gerais, Região Sudeste, Brasil"
Trevo de Nanuque Boeing 737,city,-17.83939,-40.34946,"Nanuque, Minas Gerais, Região Sudeste, 39860-000, Brasil"
"Trevo de Paraguaçu T-6 Monument, Paraguaçu",city,-21.54722,-45.73750,"Paraguaçu, Minas Gerais, Região Sudeste, 37120-000, Brasil"
"Aero Sofiste Gulfstream I, Divino de São Lourenço",city,-20.62246,-41.68531,"Divino de São Lourenço, Espírito Santo, Região Sudeste, 29590-000, Brasil"
"Praça do Avião A-1 AMX, Ilha do Governador",city,-22.91101,-43.20937,"Rio de Janeiro, Região Sudeste, Brasil"
"Fazenda Gamela Eco Resort Hercules, Cantagalo",city,-21.86740,-42.30624,"Cantagalo, Rio de Janeiro, Região Sudeste, Brasil"
"Ipiabas Boeing 727, Barra do Piraí",city,-22.47034,-43.82633,"Barra do Piraí, Rio de Janeiro, Região Sudeste, Brasil"
Orla de São Pedro da Aldeia AF-1 Skyhawk Monument,city,-22.78128,-42.12004,"São Pedro da Aldeia, Rio de Janeiro, Região Sudeste, Brasil"
"RJ-140 Sea King Monument, São Pedro da Aldeia",city,-22.78128,-42.12004,"São Pedro da Aldeia, Rio de Janeiro, Região Sudeste, Brasil"
"Memorial dos Expedicionários Xavante, Volta Redonda",city,-22.52186,-44.10401,"Volta Redonda, Rio de Janeiro, Região Sudeste, Brasil"
"Praça Antônio Pedro da Costa Xavante, Volta Redonda",city,-22.52186,-44.10401,"Volta Redonda, Rio de Janeiro, Região Sudeste, Brasil"
"Parque Ecológico Xavante, Americana",city,-22.73925,-47.33060,"Americana, São Paulo, Região Sudeste, Brasil"
"Praça do Viscount, Araçariguama",city,-23.43883,-47.06131,"Araçariguama, São Paulo, Região Sudeste, 18147-000, Brasil"
"Auto Posto Bambina Buffalo, Araraquara",city,-21.78867,-48.17731,"Araraquara, São Paulo, Região Sudeste, Brasil"
"Praça Dr. Roberto Mercatelli Mirage III, Araras",city,-22.35692,-47.38388,"Araras, São Paulo, Região Sudeste, Brasil"
Aeroporto de Assis T-33 Display,city,-22.66209,-50.42062,"Assis, São Paulo, Região Sudeste, Brasil"
"Praça Duarte Silva Bandeirante Monument, Bauru",city,-22.31738,-49.06898,"Bauru, São Paulo, Região Sudeste, Brasil"
Trevo de Boracéia Xavante Monument,city,-22.19535,-48.78019,"Boracéia, São Paulo, Região Sudeste, 17270-049, Brasil"
Embraer Botucatu Phenom 100 Gate Display,city,-22.88796,-48.44107,"Botucatu, São Paulo, Região Sudeste, Brasil"
"Constellation Lodge Embraer 190, Campos do Jordão",city,-22.73830,-45.59038,"Campos do Jordão, São Paulo, Região Sudeste, Brasil"
"Praça dos Idosos T-33, Dumont",city,-21.23914,-47.97477,"Dumont, São Paulo, Região Sudeste, 14120-000, Brasil"
"Praça Santos Dumont Xavante Monument, Guarulhos",address,-23.45810,-46.56857,"Praça Santos Dumont, Vila Galvão, Distrito-sede de Guarulhos, Guarulhos, São Paulo, Região Sudeste, Brasil"
"Chalé Cantos das Águas C-97, Igaratá",city,-23.20635,-46.15693,"Igaratá, São Paulo, Região Sudeste, 12350-000, Brasil"
"Praça do Aviador Xavante, Itápolis",city,-21.59584,-48.81227,"Itápolis, São Paulo, Região Sudeste, 14900-000, Brasil"
"Aeródromo do Broa Displays, Itirapina",city,-22.25365,-47.82125,"Itirapina, São Paulo, Região Sudeste, 13530-000, Brasil"
"Praça Ninho das Águias T-25, Pirassununga",city,-21.99805,-47.42809,"Pirassununga, São Paulo, Região Sudeste, Brasil"
"Praça T-25 Universal 1932, Pirassununga",city,-21.99805,-47.42809,"Pirassununga, São Paulo, Região Sudeste, Brasil"
"Cidade da Criança T-6 Monument, Pirassununga",city,-21.99805,-47.42809,"Pirassununga, São Paulo, Região Sudeste, Brasil"
"Rotatória Jacto Xavante Monument, Pompéia",city,-22.10883,-50.17208,"Pompeia, São Paulo, Região Sudeste, Brasil"
"Posto Rodomaster Aircraft Displays, Regente Feijó",city,-22.21911,-51.30346,"Regente Feijó, São Paulo, Região Sudeste, 19570-000, Brasil"
"Praça Fernando Arruda Botelho Xavante, São Carlos",city,-22.01804,-47.89115,"São Carlos, São Paulo, Região Sudeste, Brasil"
"Hotel Slaviero ATR 42s, São Carlos",city,-22.01804,-47.89115,"São Carlos, São Paulo, Região Sudeste, Brasil"
"UNICEP ATR 42, São Carlos",city,-22.01804,-47.89115,"São Carlos, São Paulo, Região Sudeste, Brasil"
"Parque Santos Dumont Aircraft Monuments, São José dos Campos",city,-23.18678,-45.88545,"São José dos Campos, Eugênio de Melo, São Paulo, Região Sudeste, Brasil"
"Embraer Main Gate C-95 Bandeirante, São José dos Campos",city,-23.18678,-45.88545,"São José dos Campos, Eugênio de Melo, São Paulo, Região Sudeste, Brasil"
"Parque da Represa Xavante, São José do Rio Preto",city,-20.81259,-49.38042,"São José do Rio Preto, São Paulo, Região Sudeste, Brasil"
"Clube Náutico Guarapiranga T-6, São Paulo",city,-23.55065,-46.63338,"São Paulo, Região Sudeste, Brasil"
"Praça Francisco Hitner Xavante, Vinhedo",city,-23.02985,-46.97498,"Vinhedo, São Paulo, Região Sudeste, Brasil"
Aeroporto Executivo de Cascavel Boeing 737,city,-24.95550,-53.45605,"Cascavel, Paraná, Região Sul, Brasil"
"Universidade Tuiuti Xavante, Curitiba",city,-25.42960,-49.27127,"Curitiba, Paraná, Região Sul, Brasil"
"Parque Nacional do Iguaçu VC-96 Boeing 737, Foz do Iguaçu",city,-25.53040,-54.58307,"Foz do Iguaçu, Paraná, Região Sul, Brasil"
"Praça do Avião Xavante, Maringá",city,-23.42527,-51.93821,"Maringá, Paraná, Região Sul, Brasil"
"Hangar Espaço Gastronômico Airbus A318, Morretes",city,-25.47685,-48.83225,"Morretes, Paraná, Região Sul, Brasil"
"Praça dos Expedicionários Embraer 721, Paranavaí",address,-23.09865,-52.48032,"Praça dos Expedicionários, Jardim São Jorge, Paranavaí, Paraná, Região Sul, Brasil"
"Sideral Cargo Bandeirante, São José dos Pinhais",city,-25.53382,-49.20722,"São José dos Pinhais, Paraná, Região Sul, Brasil"
"Praça do Avião Regente, Toledo",city,-24.72224,-53.74025,"Toledo, Paraná, Região Sul, Brasil"
"Praça Santos Dumont Aero Commander, Umuarama",address,-23.76211,-53.31162,"Praça Santos Dumont, Umuarama, Paraná, Região Sul, Brasil"
"Praça Aeronaval Amazônia Azul, Balneário Piçarras",city,-26.76389,-48.67167,"Balneário Piçarras, Santa Catarina, Região Sul, Brasil"
"Parque Leopoldo Moritz T-6 Monument, Brusque",city,-27.09646,-48.91363,"Brusque, Santa Catarina, Região Sul, Brasil"
"Surreal Park Boeing 727, Camboriú",city,-27.02736,-48.65357,"Camboriú, Santa Catarina, Região Sul, Brasil"
"Asas do Vale T-25 Universal, Gaspar",city,-26.93073,-48.95668,"Gaspar, Santa Catarina, Região Sul, Brasil"
Hangar 01 Pedras Grandes AMX,city,-28.43579,-49.18641,"Pedras Grandes, Santa Catarina, Região Sul, Brasil"
"Praça Tenente Sapucaia T-6 Monument, Rio Negrinho",city,-26.25907,-49.51775,"Rio Negrinho, Santa Catarina, Região Sul, 89295-000, Brasil"
"Aeroclube de Santa Catarina Xavante, São José",city,-27.61577,-48.62765,"São José, Santa Catarina, Região Sul, Brasil"
"Posto do Avião YS-11, Tijucas",city,-27.23940,-48.63537,"Tijucas, Santa Catarina, Região Sul, 88200-000, Brasil"
"Praça Memorial Aeroporto Anita Garibaldi T-25, Tubarão",city,-28.47149,-49.01413,"Tubarão, Santa Catarina, Região Sul, Brasil"
Aeroporto de Cachoeira do Sul Xavante Monument,city,-30.04822,-52.89017,"Cachoeira do Sul, Rio Grande do Sul, Região Sul, Brasil"
"Praça do Avião Gloster Meteor, Canoas",city,-29.92160,-51.17995,"Canoas, Rio Grande do Sul, Região Sul, Brasil"
"ULBRA Xavante, Canoas",city,-29.92160,-51.17995,"Canoas, Rio Grande do Sul, Região Sul, Brasil"
"Rotatória V COMAR Xavante, Canoas",city,-29.92160,-51.17995,"Canoas, Rio Grande do Sul, Região Sul, Brasil"
Aeroporto de Capão da Canoa Bonanza,address,-29.76305,-50.03611,"Aeroporto de Capão da Canoa, Avenida Interbalneários, Capão da Canoa, Rio Grande do Sul, Região Sul, 95588-000, Brasil"
"Posto do Avião Navion, Chapada",city,-28.05878,-53.06575,"Chapada, Rio Grande do Sul, Região Sul, Brasil"
"Praça Boleslau Skorupski T-6 Monument, Erechim",city,-27.63507,-52.27387,"Erechim, Rio Grande do Sul, Região Sul, Brasil"
"Stone Hall Garden Bandeirante, Farroupilha",city,-29.22647,-51.34682,"Farroupilha, Rio Grande do Sul, Região Sul, Brasil"
"Vinícola Gazzaro L-410, Flores da Cunha",city,-29.03013,-51.18333,"Flores da Cunha, Rio Grande do Sul, Região Sul, 95270-000, Brasil"
"Posto do Avião DC-3, Garibaldi",city,-29.25623,-51.52692,"Garibaldi, Rio Grande do Sul, Região Sul, 95720-000, Brasil"
"Jardim Secreto do Capitão, Gramado",city,-29.37929,-50.87370,"Gramado, Rio Grande do Sul, Região Sul, 95670-000, Brasil"
"Praça da Igreja Luterana Xavante, Mata",city,-29.56376,-54.45909,"Mata, Rio Grande do Sul, Região Sul, 97410-000, Brasil"
"Praça do Avião Xavante, Paulo Bento",city,-27.70344,-52.42202,"Paulo Bento, Rio Grande do Sul, Região Sul, Brasil"
"Boulevard Laçador DC-3, Porto Alegre",city,-30.10092,-51.18879,"Porto Alegre, Rio Grande do Sul, Região Sul, Brasil"
"Praça das Forças Armadas Xavante, Rio Grande",city,-32.03343,-52.09913,"Rio Grande, Rio Grande do Sul, Região Sul, Brasil"
"Praça RSC-287 Xavante, Santa Maria",city,-29.68605,-53.80692,"Santa Maria, Rio Grande do Sul, Região Sul, Brasil"
"Rotatória Fernando Ferrari H-1H Monument, Santa Maria",city,-29.68605,-53.80692,"Santa Maria, Rio Grande do Sul, Região Sul, Brasil"
"UFSM Engineering Hangar AMX, Santa Maria",city,-29.68605,-53.80692,"Santa Maria, Rio Grande do Sul, Região Sul, Brasil"
"Complexo Turístico Pedra Caída Boeing 727, Carolina",city,-7.33134,-47.47388,"Carolina, Maranhão, Região Nordeste, 65980-000, Brasil"
"Faculdade AGES HS-125, Lagarto",city,-10.91450,-37.67111,"Lagarto, Sergipe, Região Nordeste, Brasil"
