name,level,lat,lon,matched
Base Aérienne 133 Nancy-Ochey Aircraft Displays,postcode,48.53654,5.91114,"54170, Allain, Toul, Meurthe-et-Moselle, Grand Est, France métropolitaine, France"
Base Aérienne 105 Évreux-Fauville Aircraft Displays,postcode,49.01982,1.14152,"27000, Évreux, Eure, Normandie, France métropolitaine, France"
Base Aérienne 123 Orléans-Bricy Noratlas,postcode,48.01402,1.66950,"45310, Saint-Péravy-la-Colombe, Orléans, Loiret, Centre-Val de Loire, France métropolitaine, France"
Toulouse-Francazal Noratlas,postcode,43.53423,1.33469,"31270, Cugnaux, Toulouse, Haute-Garonne, Occitanie, France métropolitaine, France"
Musée de la Base Aérienne 102 Dijon-Longvic,postcode,47.26355,5.06264,"21600, Ouges, Dijon, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, France"
Base Aérienne 943 Roquebrune-Cap-Martin Mirage III,postcode,43.76402,7.45851,"06190, Roquebrune-Cap-Martin, Nice, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, France"
Base Aérienne 901 Drachenbronn Mirage III,postcode,48.99363,7.97104,"67160, Altenstadt, Wissembourg, Haguenau-Wissembourg, Bas-Rhin, Collectivité européenne d'Alsace, Grand Est, F"
Champ de Tir et Polygone d'Essais de Captieux Aircraft,postcode,44.28306,-0.22565,"33840, Escaudes, Langon, Gironde, Nouvelle-Aquitaine, France métropolitaine, France"
"Conservatoire Historique de l'Aéronautique Navale, Nîmes-Garons",postcode,43.77169,4.43839,"30128, Garons, Nîmes, Gard, Occitanie, France métropolitaine, France"
École d'Enseignement Technique de l'Armée de l'Air 722 Saintes Aircraft,postcode,45.75728,-0.60411,"17100, Fontcouverte, Saintes, Charente-Maritime, Nouvelle-Aquitaine, France métropolitaine, France"
Musée de l'Épopée de l'Industrie et de l'Aéronautique,address,50.00108,2.63616,"Rue de l'Industrie, P.A. André Line, Albert, Péronne, Somme, Hauts-de-France, France métropolitaine, 80300, Fr"
"Potez 36 Monument, Gare d'Albert",postcode,50.02272,2.66104,"80300, Aveluy, Péronne, Somme, Hauts-de-France, France métropolitaine, France"
La Coupole,address,50.70641,2.23440,"Rue André Clabaux, Wizernes, Saint-Omer, Pas-de-Calais, Hauts-de-France, France métropolitaine, 62570, France"
Musée de l'Aviation de Warluis,address,49.39495,2.14884,"Rue des Bruyères, Warluis, Beauvais, Oise, Hauts-de-France, France métropolitaine, 60430, France"
Historial de la Grande Guerre - Musée de Thiepval,address,50.05186,2.68865,"Rue de l'Ancre (Pas d'Accès 10:00 - 18:00), Thiepval, Péronne, Somme, Hauts-de-France, France métropolitaine, "
Airborne Museum,address,49.40828,-1.31632,"Rue Eisenhower, Richedoux, Sainte-Mère-Église, Cherbourg, Manche, Normandie, France métropolitaine, 50480, Fra"
