manufacturer,model,variant,tail_number,construction_number,operator_country,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Mikoyan-Gurevich,MiG-23,S,,220000812,,,,fixed_wing,monoplane,military,fighter,,russianplanes.net monument point 272,MiG23; MiG23S,Perm Aircraft Monuments (2),on_display
Mil,Mi-24,A,,,,,,rotary_wing,,military,ground_attack,,russianplanes.net monument point 273,Mi24; Mi24A,Perm Aircraft Monuments (2),on_display
