manufacturer,model,variant,tail_number,construction_number,operator_country,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Mil,Mi-8,TV,RF-32825,9754910,RU,,,rotary_wing,,military,utility,,russianplanes.net monument point 10489,Mi8; Mi8TV,Labinsk Aircraft Monuments,on_display
Aero,L-39,,58,,,Albatros,,fixed_wing,monoplane,military,trainer,,russianplanes.net monument point 23641; contributor note (ru): Установлен 7 мая 2024,Albatros; L39,Labinsk Aircraft Monuments,on_display
