manufacturer,model,variant,tail_number,construction_number,operator_country,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Mikoyan-Gurevich,MiG-23,UB,64 Blue,3901404,RU,,,fixed_wing,monoplane,military,fighter,,russianplanes.net monument point 4661; contributor note (ru): Перемещён из музея Дельней авиации; source records the bort as 64-синий,MiG23; MiG23UB,Engels Aircraft Monuments,on_display
Mikoyan-Gurevich,MiG-17,,143 Red,,RU,,,fixed_wing,monoplane,military,fighter,,"russianplanes.net monument point 8661; contributor note (ru): Парк ""Патриот"". Сперва установили МиГ-15УТИ; бортовой номер 77. Но он был повреждён посетителями парка; и возвращён обратно в музей авиабазы Энгельс. Вместо него в парке выставлен МиГ-17 143-красный.; source records the bort as 143-красный",MiG17,Engels Aircraft Monuments,on_display
Mil,Mi-8,,83 Yellow,,RU,,,rotary_wing,,military,utility,,"russianplanes.net monument point 8663; contributor note (ru): Парк ""Патриот"".; source records the bort as 83-жёлтый",Mi8,Engels Aircraft Monuments,on_display
Mikoyan-Gurevich,MiG-29,,,10-01 / 2960509169,,,,fixed_wing,monoplane,military,fighter,,russianplanes.net monument point 10962; wears bort 07 -- that number recurs at other Russian sites so it is recorded here as a marking rather than as an identity,MiG29,Engels Aircraft Monuments,on_display
Sukhoi,Su-27,,51 Red,36911019408,RU,,,fixed_wing,monoplane,military,fighter,,russianplanes.net monument point 23000; source records the bort as 51-красный,Su27,Engels Aircraft Monuments,on_display
