manufacturer,model,variant,tail_number,construction_number,operator_country,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Lisunov,Li-2,T,55 Yellow,23440706,RU,,,fixed_wing,monoplane,military,transport,,russianplanes.net monument point 318; source records the bort as 55-жёлтый,Li2; Li2T,Ivanovo Aircraft Monuments (2),on_display
Antonov,An-2,TD,11 Yellow,15747304,RU,,,fixed_wing,biplane,military,utility,,russianplanes.net monument point 320; source records the bort as 11-жёлтый,An2; An2TD,Ivanovo Aircraft Monuments (2),on_display
